"TOACI1","header house growth cabinets","growth_cabinets"
"TMSTAMP","RECNBR","batt_volt_Avg","temp107_Avg(1)","temp107_Avg(2)","temp107_Avg(3)","temp107_ids(1)","temp107_ids(2)","temp107_ids(3)","temp_locations(1)","temp_locations(2)","temp_locations(3)"
"2021-06-05 13:00:00",22,12.62593,13.3386,17.5621,19.96934,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 14:00:00",23,12.62831,13.88759,18.29095,20.68209,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 15:00:00",24,12.63095,13.9025,17.54556,19.0074,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 16:00:00",25,12.63125,13.68114,16.56602,17.30878,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 17:00:00",26,12.63103,12.80609,14.0964,14.0422,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 18:00:00",27,12.62723,11.59412,11.83223,11.64867,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 19:00:00",28,12.62516,11.49817,11.76805,11.59567,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 20:00:00",29,12.62124,11.40205,11.61939,11.4752,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 21:00:00",30,12.62124,11.43599,11.69143,11.52142,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 22:00:00",31,12.62059,11.39626,11.65215,11.48057,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 23:00:00",32,12.61627,11.31792,11.50834,11.32504,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 00:00:00",33,12.61584,11.43264,11.74894,11.57964,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 01:00:00",34,12.61505,11.69848,12.15598,12.10196,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 02:00:00",35,12.61275,11.74573,12.23222,12.07923,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 03:00:00",36,12.61097,11.82979,12.31458,12.18144,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 04:00:00",37,12.6101,11.84402,12.35842,12.18926,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 05:00:00",38,12.61002,11.887,12.35274,12.165,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 06:00:00",39,12.60999,11.92167,12.42348,12.2734,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 07:00:00",40,12.60984,12.01033,12.52884,12.41361,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 08:00:00",41,12.60796,12.08878,12.6807,12.59924,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 09:00:00",42,12.6052,12.19666,12.84295,12.76838,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 10:00:00",43,12.60426,12.37005,13.19479,13.18164,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 11:00:00",44,12.60373,12.81674,14.14,14.31381,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 12:00:00",45,12.60361,13.54247,15.75928,16.408,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 13:00:00",46,12.60319,13.78013,16.0271,16.55177,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 14:00:00",47,12.60347,14.00583,16.24861,16.65088,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 15:00:00",48,12.60386,13.90544,15.69582,15.71528,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 16:00:00",49,12.60345,13.71959,15.21463,15.13623,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 17:00:00",50,12.60333,13.58542,14.82719,14.683,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 18:00:00",51,12.6001,13.33223,14.13981,13.98829,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 19:00:00",52,12.59796,13.14736,13.72915,13.57351,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 20:00:00",53,12.59814,13.23308,14.05317,13.99554,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 21:00:00",54,12.59787,13.39983,14.38769,14.41134,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 22:00:00",55,12.59783,13.47507,14.48998,14.45759,"27","c14","c10","Floor","1metre","2metre"
"2021-06-06 23:00:00",56,12.59702,13.4862,14.45142,14.36609,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 00:00:00",57,12.59445,13.45809,14.3841,14.26203,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 01:00:00",58,12.59263,13.56727,14.60109,14.61459,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 02:00:00",59,12.59246,13.61829,14.66013,14.68393,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 03:00:00",60,12.59228,13.61472,14.60909,14.57997,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 04:00:00",61,12.59156,13.58838,14.49344,14.40247,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 05:00:00",62,12.58973,13.56443,14.4254,14.28439,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 06:00:00",63,12.58793,13.41329,14.04045,13.85293,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 07:00:00",64,12.58689,13.38628,13.93874,13.76804,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 08:00:00",65,12.58698,13.358,13.9268,13.75451,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 09:00:00",66,12.58704,13.44194,14.11121,13.95027,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 10:00:00",67,12.58726,13.80538,14.932,15.12955,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 11:00:00",68,12.58669,14.21598,15.80503,16.26196,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 12:00:00",69,12.58651,14.80139,16.82067,17.42702,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 13:00:00",70,12.58596,15.0117,17.08247,17.58928,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 14:00:00",71,12.58581,15.38568,17.68148,18.5027,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 15:00:00",72,12.5858,15.00462,16.59818,16.76944,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 16:00:00",73,12.58582,14.67566,16.02588,16.10368,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 17:00:00",74,12.58543,14.19368,14.9362,14.93905,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 18:00:00",75,12.58226,13.52614,13.69503,13.5877,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 19:00:00",76,12.58128,13.19457,13.25637,13.16955,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 20:00:00",77,12.57682,12.98671,13.02618,12.93134,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 21:00:00",78,12.57578,12.87199,12.92374,12.80864,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 22:00:00",79,12.57554,12.73259,12.73462,12.61026,"27","c14","c10","Floor","1metre","2metre"
"2021-06-07 23:00:00",80,12.57491,12.50196,12.44947,12.29988,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 00:00:00",81,12.57145,12.36152,12.20231,12.05859,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 01:00:00",82,12.57047,12.16012,11.97445,11.8404,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 02:00:00",83,12.56972,12.06747,11.99128,11.79762,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 03:00:00",84,12.56752,12.07982,12.01427,11.85079,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 04:00:00",85,12.56577,11.94149,11.83084,11.69152,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 05:00:00",86,12.56566,11.90797,11.85034,11.69151,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 06:00:00",87,12.56549,12.1277,12.10919,12.00442,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 07:00:00",88,12.56542,12.23762,12.23973,12.15218,"27","c14","c10","Floor","1metre","2metre"
"2021-06-08 08:00:00",89,12.56525,12.29087,12.32046,12.26045,"27","c14","c10","Floor","1metre","2metre"
